rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,year_multiplier,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,sector_source,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,evidence_accessibility_score,trend_alignment_score,ipr_risk_score,prosecution_quality_score,score_aggressive,score_moderate,score_conservative,score_unified
213,9331856,Symantec Enterprise,"Systems and methods for validating digital signatures",2016-05-03,"Symantec Corporation",7.3,0.69,60,29,6,"Amazon; Ping Identity; Bank of America; Samsung; Huawei; Dell EMC",network-crypto,"Network Cryptography",cpc-subgroup,,,,,,,,,,,43.9,38.8,39.0,40.5
214,10594516,VMware,"Virtual network provider",2020-03-17,"VMware LLC",14.2,0.97,114,5,2,"Amazon; NEC",,"",none,,,,,,,,,,,36.4,41.9,43.3,40.5
215,8286174,VMware,"Executing a multicomponent software application on a virtualized computer platform",2012-10-09,"VMware LLC",6.7,0.67,88,31,6,"Amazon; IBM; Dell EMC; Google; Microsoft; Red Hat",,"",none,,,,,,,,,,,43.4,39.1,38.6,40.4
216,8755316,Broadcom,"Coordination of DRX and eICIC",2014-06-17,"Broadcom Corporation",5.4,0.61,52,44,7,"Intel; NBCUniversal; Ericsson; Apple; Samsung; Qualcomm; Xiaomi",wireless-power-mgmt,"Wireless Power Management",cpc-subgroup,,,,,,,,,,,44.9,38.1,37.9,40.3
217,9189043,Broadcom,"Apparatus and method for multipoint detection in power-over-ethernet detection mode",2015-11-17,"Broadcom Corporation",6.8,0.67,68,67,1,"Cisco",computing-systems,"Computing Systems",cpc-subgroup,,,,,,,,,,,43.8,39.8,37.3,40.3
218,7814495,VMware,"On-line replacement and changing of virtualization software",2010-10-12,"VMware LLC",4.7,0.58,84,38,11,"IBM; Red Hat; Dell EMC; Microsoft; FireEye; Google; Juniper; SAP; NEC; Cisco; Amazon",,"",none,,,,,,,,,,,44.5,38.0,38.4,40.3
219,10042768,Avago Technologies,"Virtual machine migration",2018-08-07,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.6,0.79,10,8,5,"Google; ByteDance; Red Hat; Huawei; NetApp",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,2.8,39.7,38.5,42.6,40.3
220,10313479,VMware,"Methods and apparatus to manage workload domains in virtual server racks",2019-06-04,"VMware LLC",13.4,0.94,18,10,3,"Microsoft; McAfee; HPE",,"",none,,,,,,,,,,,40.4,38.5,41.9,40.2
221,10103939,Nicira (VMware SDN),"Network control apparatus and method for populating logical datapath sets",2018-10-16,"Nicira, Inc.",12.7,0.91,21,14,2,"Oracle; Juniper",,"",none,,,,,,,,,,,40.9,38.8,40.9,40.2
222,10901721,VMware,"Methods and apparatus for version aliasing mechanisms and cumulative upgrades for software lifecycle management",2021-01-26,"VMware LLC",15.0,1.00,10,8,2,"Oracle; Amazon",,"",none,,,,,,,,,,,39.3,38.3,42.8,40.2
223,D903695,VMware,"Display screen, or portion thereof, having a transitional graphical user interface",2020-12-01,"VMware LLC",14.9,1.00,13,5,4,"Apple; Google; Meta; Samsung",,"",none,,,,,,,,,,,39.1,37.9,43.5,40.2
224,11323358,Avago Technologies,"Load-aware ECMP",2022-05-03,"Avago Technologies International Sales Pte. Limited",13.3,0.94,2,1,1,"Cisco",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,3,4,5,5,34.4,38.2,47.7,40.1
225,8826443,Symantec Enterprise,"Selective removal of protected content from web requests sent to an interactive website",2014-09-02,"Symantec Corporation",5.6,0.62,254,23,7,"Google; Microsoft; Salesforce; Amazon; Forcepoint; Capital One; PayPal",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,1,40.9,40.7,38.6,40.1
226,9043792,VMware,"Virtual local area network (vlan) coordinator providing access to vlans",2015-05-26,"VMware LLC",9.3,0.78,24,19,6,"NEC; Juniper; Amazon; Zoom Video Communications; Intel; HPE",,"",none,,,,,,,,,,,43.1,37.5,39.5,40.0
227,11297083,CA Technologies,"Identifying and protecting against an attack against an anomaly detector machine learning classifier",2022-04-05,"CA, Inc.",13.2,0.93,3,1,1,"Darktrace",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,5,5,5,34.2,38.3,47.6,40.0
228,9614826,Symantec Enterprise,"Sensitive data protection",2017-04-04,"Symantec Corporation",8.2,0.73,39,36,2,"McAfee; Dropbox",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,43.3,38.8,37.8,39.9
229,10616038,VMware,"Method and system for clustering event messages and managing event-message clusters",2020-04-07,"VMware LLC",14.2,0.97,10,10,2,"IBM; Fortinet",,"",none,,,,,,,,,,,39.9,38.0,41.8,39.9
230,9645858,VMware,"Single, logical, multi-tier application blueprint used for deployment and management of multiple physical applications in a cloud infrastructure",2017-05-09,"VMware LLC",11.3,0.86,17,13,5,"IBM; Amazon; Dell EMC; SAP; Red Hat",,"",none,,,,,,,,,,,41.8,37.4,40.5,39.9
231,11444925,CA Technologies,"Secure access to a corporate application in an SSH session using a transparent SSH proxy",2022-09-13,"CA, Inc.",13.7,0.95,8,1,1,"Fortinet",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,3,4,5,3.5,34.5,39.0,46.2,39.9
232,10749711,Nicira (VMware SDN),"Network-link method useful for a last-mile connectivity in an edge-gateway multipath system",2020-08-18,"Nicira, Inc.",14.6,0.99,105,4,2,"Huawei; Nokia",,"",none,,,,,,,,,,,35.4,41.2,43.0,39.9
233,9830236,VMware,"System and method for assigning memory reserved for high availability failover to virtual machines",2017-11-28,"VMware LLC",11.9,0.88,25,14,3,"NetApp; IBM; Samsung",,"",none,,,,,,,,,,,40.9,38.3,40.4,39.9
234,11496798,Avago Technologies,"Video rendering system",2022-11-08,"Avago Technologies International Sales Pte. Limited",13.8,0.95,1,1,1,"Samsung",video-client-processing,"Video Client Processing",cpc-subgroup,,,,,,4,3,3,5,4,34.5,38.2,46.7,39.8
235,8555274,VMware,"Virtualized desktop allocation system using virtual infrastructure",2013-10-08,"VMware LLC",7.7,0.71,75,26,5,"Citrix; Oracle; Amazon; Huawei; Intel",,"",none,,,,,,,,,,,42.3,38.6,38.3,39.8
236,9571426,VMware,"Traffic and load aware dynamic queue management",2017-02-14,"VMware LLC",11.1,0.85,13,12,6,"HPE; AMD; Huawei; Samsung; T-Mobile; Microsoft",,"",none,,,,,,,,,,,42.0,36.8,40.4,39.7
237,11115480,VMware,"Layer four optimization for a virtual network defined over public cloud",2021-09-07,"VMware LLC",15.6,1.00,83,5,1,"Cloudflare",,"",none,,,,,,,,,,,35.4,40.9,42.8,39.7
238,9772831,Pivotal Software,"Droplet execution engine for dynamic server application deployment",2017-09-26,"PIVOTAL SOFTWARE, INC.",11.7,0.87,21,15,3,"Elastic; Salesforce; T-Mobile",,"",none,,,,,,,,,,,41.1,38.0,40.0,39.7
239,11411968,CA Technologies,"Systems and methods for protecting a cloud computing device from malware",2022-08-09,"CA, Inc.",13.6,0.95,3,1,1,"Sophos",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,4,2,4,5,4,34.3,38.3,46.5,39.7
240,8826444,Symantec Enterprise,"Systems and methods for using client reputation data to classify web domains",2014-09-02,"Symantec Corporation",5.6,0.62,48,22,11,"Microsoft; Apple; Amazon; Palo Alto Networks; Bank of America; Citrix; Dell EMC; McAfee; Cisco; Akamai; Nokia",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,1.8,41.9,37.8,38.8,39.5
241,11765767,Avago Technologies,"Multi-user (MU) enhanced distributed channel access (EDCA) termination signaling",2023-09-19,"Avago Technologies International Sales Pte. Limited",14.7,0.99,1,0,0,"",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,5,3,4,5,4,32.3,39.2,47.2,39.5
242,9565192,Symantec Enterprise,"Router based securing of internet of things devices on local area networks",2017-02-07,"Symantec Corporation",8.1,0.73,32,30,4,"Intel; Bank of America; Cisco; Red Hat",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,43.0,37.7,37.8,39.5
243,11695697,Nicira (VMware SDN),"Performing in-line service in public cloud",2023-07-04,"Nicira, Inc.",17.4,1.00,10,9,1,"Oracle",,"",none,,,,,,,,,,,38.5,37.9,41.8,39.4
244,10671424,Nicira (VMware SDN),"Logical processing for containers",2020-06-02,"Nicira, Inc.",14.4,0.98,16,10,1,"Oracle",,"",none,,,,,,,,,,,38.6,38.3,41.3,39.4
245,10924340,VMware,"Extending computing capacity via cloud replication",2021-02-16,"VMware LLC",15.1,1.00,8,6,3,"Dell EMC; Amazon; Cisco",,"",none,,,,,,,,,,,38.4,37.0,42.4,39.3
246,10911558,Pivotal Software,"On-demand network segmentation",2021-02-02,"PIVOTAL SOFTWARE, INC.",15.0,1.00,8,6,3,"Oracle; HPE; IBM",,"",none,,,,,,,,,,,38.4,37.0,42.4,39.3
247,11038710,VMware,"Controlling proxy devices through a managed gateway",2021-06-15,"VMware LLC",15.4,1.00,9,9,1,"Oracle",,"",none,,,,,,,,,,,38.4,37.7,41.7,39.3
248,11303670,CA Technologies,"Pre-filtering detection of an injected script on a webpage accessed by a computing device",2022-04-12,"CA, Inc.",13.2,0.93,3,2,0,"",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,4,5,4,34.2,38.0,45.5,39.2
249,8584234,Symantec Enterprise,"Secure network cache content",2013-11-12,"Symantec Corporation",4.8,0.58,278,97,2,"FireEye; Intel",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,40.9,40.5,36.4,39.2
250,9342705,Symantec Enterprise,"Systems and methods for searching shared encrypted files on third-party storage systems",2016-05-17,"Symantec Corporation",7.3,0.69,31,15,7,"Microsoft; Dell EMC; Amazon; Samsung; Workday; Salesforce; Google",cloud-auth,"Cloud / Authentication",term,,,,,,3,2,4,5,4,39.5,36.6,41.5,39.2
251,10084762,CA Technologies,"Publicly readable blockchain registry of personally identifiable information breaches",2018-09-25,"CA, Inc.",9.7,0.79,47,8,2,"Microsoft; Capital One",pii-breach,"PII / Data Breach Detection",term,,,,,,3,2,3,5,5,35.9,37.6,43.9,39.1
252,11368412,Avago Technologies,"Power throttle for network switches",2022-06-21,"Avago Technologies International Sales Pte. Limited",13.4,0.94,2,1,0,"",computing-systems,"Computing Systems",cpc-subgroup,,,,,,4,3,5,5,5,33.0,37.5,46.9,39.1
253,9021448,CA Technologies,"Automated pattern detection in software for optimal instrumentation",2015-04-28,"CA, Inc.",6.3,0.65,28,20,7,"Amazon; Google; Oracle; Capital One; Cisco; Dell EMC; Red Hat",computing-runtime,"Computing Runtime",cpc-subgroup,,,,,,4,2,4,5,,40.5,37.2,39.7,39.1
254,11025495,VMware,"Methods and apparatus to determine container priorities in virtualized computing environments",2021-06-01,"VMware LLC",15.4,1.00,7,6,3,"Microsoft; Salesforce; Dell EMC",,"",none,,,,,,,,,,,38.3,36.8,42.2,39.1
255,8806644,Symantec Enterprise,"Using expectation measures to identify relevant application analysis results",2014-08-12,"Symantec Corporation",5.6,0.62,53,45,5,"Qualcomm; Juniper; Cisco; Palo Alto Networks; Amazon",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,43.3,37.3,36.5,39.0
256,8813214,Symantec Enterprise,"Method and system for providing secure peer-to-peer file transfers",2014-08-19,"Symantec Corporation",5.6,0.62,52,49,4,"Cisco; Bank of America; Microsoft; OneTrust",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,43.3,37.5,36.2,39.0
257,12376030,Avago Technologies,"Low power high definition wireless media transport",2025-07-29,"Avago Technologies International Sales Pte. Limited",16.5,1.00,0,0,0,"",network-error-control,"Network Error Control",cpc-subgroup,,,,,,5,2,5,5,3.5,32.1,38.5,46.3,38.9
258,12301858,Avago Technologies,"Memory latency management for decoder-side motion refinement",2025-05-13,"Avago Technologies International Sales Pte. Limited",16.3,1.00,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,3,5,5,3.5,32.1,38.5,46.3,38.9
259,12289460,Avago Technologies,"Low complexity affine merge mode for versatile video coding",2025-04-29,"Avago Technologies International Sales Pte. Limited",16.3,1.00,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,3,5,5,3.5,32.1,38.5,46.3,38.9
260,12010072,Avago Technologies,"Timing skew calibration in time-interleaved data converters in carrier aggregation",2024-06-11,"Avago Technologies International Sales Pte. Limited",15.4,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,5,2,5,5,3.5,32.1,38.5,46.3,38.9
261,11917176,Avago Technologies,"Low-latency and high-throughput motion vector refinement with template matching",2024-02-27,"Avago Technologies International Sales Pte. Limited",15.1,1.00,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,3,4,5,3.5,32.1,38.5,46.3,38.9
262,8830823,Nicira (VMware SDN),"Distributed control platform for large-scale production networks",2014-09-09,"Nicira, Inc.",8.6,0.75,45,14,8,"Microsoft; Huawei; Intel; HPE; Cisco; IBM; Google; Dell EMC",,"",none,,,,,,,,,,,41.4,36.6,38.8,38.9
263,10356214,CA Technologies,"Composing monolithic applications based on multi-container applications",2019-07-16,"CA, Inc.",10.5,0.83,41,17,3,"Red Hat; Oracle; Amazon",network-protocols,"Network Protocols",cpc-subgroup,,,,,,,,,,,40.3,37.9,38.6,38.9
264,10198299,VMware,"Enabling live migration of virtual machines with passthrough PCI devices",2019-02-05,"VMware LLC",13.0,0.92,16,10,3,"Red Hat; Cisco; Huawei",,"",none,,,,,,,,,,,39.2,37.1,40.3,38.9
265,10616104,Nicira (VMware SDN),"Forwarding element implementation for containers",2020-04-07,"Nicira, Inc.",14.2,0.97,16,10,1,"Oracle",,"",none,,,,,,,,,,,38.1,37.7,40.6,38.8
266,7657659,VMware,"Partial copying of data to transmit buffer for virtual network device",2010-02-02,"VMware LLC",4.0,0.54,82,54,8,"F5 Networks; HPE; IBM; Google; Intel; Samsung; Microsoft; Red Hat",,"",none,,,,,,,,,,,43.1,36.8,36.3,38.8
267,10176325,Symantec Enterprise,"System and method for dynamic detection of command and control malware",2019-01-08,"Symantec Corporation",10.0,0.81,9,7,4,"Palo Alto Networks; Intel; T-Mobile; Netskope",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,5,2,5,,,39.2,38.8,38.0,38.7
268,11196591,VMware,"Centralized overlay gateway in public cloud",2021-12-07,"VMware LLC",15.9,1.00,11,4,4,"Arista; Ericsson; Huawei; IBM",,"",none,,,,,,,,,,,37.4,36.4,42.3,38.7
269,9787641,Nicira (VMware SDN),"Firewall rule management",2017-10-10,"Nicira, Inc.",11.7,0.87,39,12,3,"Sophos; Cisco; Oracle",,"",none,,,,,,,,,,,39.0,37.7,39.3,38.7
270,8130747,Blue Coat Systems,"System and method of traffic inspection and stateful connection forwarding among geographically dispersed network appliances organized as clusters",2012-03-06,"Blue Coat Systems, Inc.",6.1,0.64,53,38,5,"Netskope; Qualcomm; IBM; NEC; Samsung",,"",none,,,,,,,,,,,42.3,36.9,36.2,38.5
271,10262137,Symantec Enterprise,"Security recommendations based on incidents of malware",2019-04-16,"Symantec Corporation",10.2,0.81,7,7,3,"Microsoft; Hyundai; Bank of America",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,4,2,4,5,,37.2,37.0,41.0,38.4
272,10554688,CA Technologies,"Ransomware locked data decryption through ransomware key transposition",2020-02-04,"CA, Inc.",11.1,0.85,7,5,3,"Fortinet; Sophos; Bank of America",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,2,5,,,38.1,38.9,38.1,38.4
273,10691796,CA Technologies,"Prioritizing security risks for a computer system based on historical events collected from the computer system environment",2020-06-23,"CA, Inc.",11.4,0.86,13,7,3,"Forescout; Netskope; Ericsson",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,4,,,38.4,38.4,38.4,38.4
274,9907015,Avago Technologies,"Parallel scanning of wireless channels",2018-02-27,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.1,0.77,5,5,2,"Microsoft; Apple",bluetooth-edr,"Bluetooth / EDR Scanning",term,,,,,,5,3,4,5,5,35.6,37.1,42.4,38.4
275,8904503,Symantec Enterprise,"Systems and methods for providing access to data accounts within user profiles via cloud-based storage services",2014-12-02,"Symantec Corporation",5.9,0.63,62,61,2,"Microsoft; Dropbox",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,42.1,37.5,35.4,38.3
276,9547516,Nicira (VMware SDN),"Method and system for migrating virtual machines in virtual infrastructure",2017-01-17,"Nicira, Inc.",11.0,0.85,40,12,4,"Intel; HPE; Red Hat; SentinelOne",,"",none,,,,,,,,,,,39.1,37.0,38.8,38.3
277,9414422,Broadcom,"Proximity detection for mobile communication devices using geo-fencing",2016-08-09,"Broadcom Corporation",7.6,0.71,30,21,4,"NBCUniversal; Dell EMC; Snap; Intel",wireless-mobility,"Wireless Mobility",cpc-subgroup,,,,,,3,2,3,5,,39.0,36.4,39.4,38.2
278,9244755,VMware,"Scalable log analytics",2016-01-26,"VMware LLC",10.0,0.81,20,18,4,"IBM; Red Hat; Microsoft; Oracle",,"",none,,,,,,,,,,,40.7,36.2,37.8,38.2
279,10178223,Symantec Enterprise,"Fraudulent subscriber identity module (SIM) swap detection",2019-01-08,"Symantec Corporation",10.0,0.81,9,8,3,"Bank of America; Intel; T-Mobile",wireless-services,"Wireless Services",cpc-subgroup,,,,,,5,3,5,,,38.7,38.6,37.3,38.2
280,11678163,Avago Technologies,"Power-efficient, balanced, and reliable true wireless Bluetooth stereo audio solution",2023-06-13,"Avago Technologies International Sales Pte. Limited",14.4,0.98,0,0,0,"",wireless-services,"Wireless Services",cpc-subgroup,,,,,,5,4,4,5,4,31.3,37.5,45.7,38.2
281,11665171,CA Technologies,"Secure access to a corporate web application with translation between an internal address and an external address",2023-05-30,"CA, Inc.",14.4,0.98,0,0,0,"",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,5,4,5,5,4,31.3,37.5,45.7,38.2
282,9548988,Symantec Enterprise,"Systems and methods for attributing potentially malicious email campaigns to known threat groups",2017-01-17,"Symantec Corporation",8.0,0.72,34,15,3,"KnowBe4; Bank of America; Microsoft",security,"Security / Threat Detection",term,,,,,,4,3,4,5,2.3,38.1,37.5,38.9,38.2
283,9419968,Symantec Enterprise,"Mobile push user authentication for native client based logon",2016-08-16,"Symantec Corporation",7.6,0.71,35,27,5,"Bank of America; Workday; Capital One; Microsoft; Dell EMC",computing-auth-boot,"Computing Auth & Secure Boot",cpc-subgroup,,,,,,,,,,,41.6,36.3,36.7,38.2
284,11800086,Avago Technologies,"Sample adaptive offset (SAO) in accordance with video coding",2023-10-24,"Avago Technologies International Sales Pte. Limited",14.8,0.99,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,2,4,5,3.3,31.5,37.8,45.2,38.2
285,10997009,VMware,"Methods and systems that detect and classify incidents and anomalous behavior using metric-data observations",2021-05-04,"VMware LLC",15.3,1.00,9,5,3,"Cisco; Dell EMC; Palo Alto Networks",,"",none,,,,,,,,,,,36.8,36.0,41.3,38.0
286,11815611,Avago Technologies,"Angle-of-arrival detection using a dual-core bluetooth receiver",2023-11-14,"Avago Technologies International Sales Pte. Limited",14.8,0.99,1,1,1,"Samsung",network-protocols,"Network Protocols",cpc-subgroup,,,,,,4,3,4,5,1,34.2,37.7,42.3,38.0
287,10129257,CA Technologies,"Authorization server access system",2018-11-13,"CA, Inc.",9.8,0.80,6,6,5,"Microsoft; Amazon; Citrix; Netskope; Snap",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,1.8,37.6,36.4,39.8,37.9
288,12058408,Avago Technologies,"Rebuffering reduction in adaptive bit-rate video streaming",2024-08-06,"Avago Technologies International Sales Pte. Limited",15.6,1.00,0,0,0,"",video-client-processing,"Video Client Processing",cpc-subgroup,,,,,,5,3,4,5,2.8,31.5,37.8,44.5,37.9
289,11968281,Avago Technologies,"Distributed machine-learning resource sharing and request routing",2024-04-23,"Avago Technologies International Sales Pte. Limited",15.3,1.00,0,0,0,"",network-protocols,"Network Protocols",cpc-subgroup,,,,,,5,2,5,5,2.8,31.5,37.8,44.5,37.9
290,10455085,Symantec Enterprise,"Systems and methods for real-time scam protection on phones",2019-10-22,"Symantec Corporation",10.8,0.84,19,7,1,"T-Mobile",wireless-services,"Wireless Services",cpc-subgroup,,,,,,5,3,4,,,37.2,39.3,37.1,37.9
291,12407653,CA Technologies,"Network security device",2025-09-02,"CA, Inc.",16.6,1.00,0,0,0,"",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,3,4,5,5,30.0,36.0,47.5,37.8
292,12401346,Avago Technologies,"Efficient architecture for high-performance DSP-based long-reach SERDES",2025-08-26,"Avago Technologies International Sales Pte. Limited",16.6,1.00,0,0,0,"",network-signal-processing,"Network Signal Processing",cpc-subgroup,,,,,,4,3,4,5,5,30.0,36.0,47.5,37.8
293,12342399,Avago Technologies,"Adaptive simultaneous multilink operational framework",2025-06-24,"Avago Technologies International Sales Pte. Limited",16.4,1.00,0,0,0,"",wireless-mobility,"Wireless Mobility",cpc-subgroup,,,,,,4,2,4,5,5,30.0,36.0,47.5,37.8
294,12323647,Avago Technologies,"Video quality monitoring system",2025-06-03,"Avago Technologies International Sales Pte. Limited",16.4,1.00,0,0,0,"",video-server-cdn,"Video Server & CDN",cpc-subgroup,,,,,,4,2,4,5,5,30.0,36.0,47.5,37.8
295,12225069,Avago Technologies,"Gapped and/or subsegmented adaptive bitrate streams",2025-02-11,"Avago Technologies International Sales Pte. Limited",16.1,1.00,0,0,0,"",streaming-multimedia,"Streaming & Multimedia",cpc-subgroup,,,,,,4,3,4,5,5,30.0,36.0,47.5,37.8
296,12192083,CA Technologies,"Monitoring network volatility",2025-01-07,"CA, Inc.",16.0,1.00,0,0,0,"",network-management,"Network Management",cpc-subgroup,,,,,,4,2,4,5,5,30.0,36.0,47.5,37.8
297,12155522,Avago Technologies,"Dynamic assignment with phase-preserving clipping technique for digital transmitters and power amplifiers",2024-11-26,"Avago Technologies International Sales Pte. Limited",15.9,1.00,0,0,0,"",network-signal-processing,"Network Signal Processing",cpc-subgroup,,,,,,4,3,3,5,5,30.0,36.0,47.5,37.8
298,12041156,Avago Technologies,"Systems and methods for controlling transmission of power using attenuation",2024-07-16,"Avago Technologies International Sales Pte. Limited",15.5,1.00,0,0,0,"",network-multiplexing,"Network Multiplexing",cpc-subgroup,,,,,,4,3,3,5,5,30.0,36.0,47.5,37.8
299,11991228,Avago Technologies,"Systems and methods for controlling high speed video",2024-05-21,"Avago Technologies International Sales Pte. Limited",15.3,1.00,0,0,0,"",streaming-multimedia,"Streaming & Multimedia",cpc-subgroup,,,,,,4,3,4,5,5,30.0,36.0,47.5,37.8
300,11949586,Avago Technologies,"Load-aware ECMP with flow tables",2024-04-02,"Avago Technologies International Sales Pte. Limited",15.2,1.00,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,4,5,5,30.0,36.0,47.5,37.8
301,11893655,Avago Technologies,"Best effort video processing",2024-02-06,"Avago Technologies International Sales Pte. Limited",15.1,1.00,0,0,0,"",image-processing,"Image Processing",cpc-subgroup,,,,,,4,2,4,5,5,30.0,36.0,47.5,37.8
302,11888731,Avago Technologies,"Congestion notification for network communication",2024-01-30,"Avago Technologies International Sales Pte. Limited",15.0,1.00,0,0,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,4,2,3,5,5,30.0,36.0,47.5,37.8
303,8620218,Broadcom,"Power harvesting and use in a near field communications (NFC) device",2013-12-31,"Broadcom Corporation",5.0,0.59,217,97,1,"Capital One",wireless-transmission,"Wireless Transmission",cpc-subgroup,,,,,,,,,,,39.7,38.9,34.9,37.8
304,8666938,VMware,"Installed application cloning and failover to virtual server",2014-03-04,"VMware LLC",8.1,0.73,43,17,7,"IBM; HPE; Samsung; ServiceNow; Microsoft; Dell EMC; Google",,"",none,,,,,,,,,,,40.5,35.7,37.2,37.8
305,11442755,CA Technologies,"Secure access to a corporate application using a facade",2022-09-13,"CA, Inc.",13.7,0.95,4,1,1,"Red Hat",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,2,4,5,2.3,33.3,37.1,42.9,37.8
306,10284585,Symantec Enterprise,"Tree rotation in random classification forests to improve efficacy",2019-05-07,"Symantec Corporation",10.3,0.82,5,5,2,"Amazon; Microsoft",wireless-iot,"Wireless / IoT Geofencing",term,,,,,,4,3,4,5,4,35.1,36.1,41.9,37.7
307,10498767,Symantec Enterprise,"Systems and methods for enforcing data loss prevention (DLP) policies during web conferences",2019-12-03,"Symantec Corporation",10.9,0.84,6,5,3,"Bank of America; Zoom Video Communications; McAfee",computing-data-protection,"Computing Data Protection",cpc-subgroup,,,,,,5,3,5,,,37.6,38.2,37.4,37.7
308,8307435,Symantec Enterprise,"Software object corruption detection",2012-11-06,"Symantec Corporation",3.8,0.53,288,97,4,"FireEye; Oracle; Bank of America; Palo Alto Networks",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,39.6,38.4,35.1,37.7
309,10061916,Symantec Enterprise,"Systems and methods for measuring peer influence on a child",2018-08-28,"Symantec Corporation",9.6,0.79,29,26,1,"Forcepoint",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,40.0,36.7,36.3,37.7
310,8646072,Symantec Enterprise,"Detecting misuse of trusted seals",2014-02-04,"Symantec Corporation",5.1,0.60,187,95,1,"OneTrust",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,39.8,38.5,34.6,37.6
311,9727355,VMware,"Virtual Hadoop manager",2017-08-08,"VMware LLC",11.5,0.87,21,13,3,"Bank of America; IBM; Microsoft",,"",none,,,,,,,,,,,38.7,36.0,38.0,37.6
312,10333849,Nicira (VMware SDN),"Automatic configuration of logical routers on edge nodes",2019-06-25,"Nicira, Inc.",13.4,0.94,32,5,4,"Cisco; IBM; Arista; T-Mobile",,"",none,,,,,,,,,,,36.3,36.2,40.0,37.5
313,8844041,Symantec Enterprise,"Detecting network devices and mapping topology using network introspection by collaborating endpoints",2014-09-23,"Symantec Corporation",5.7,0.62,76,24,9,"Amazon; Cisco; Qualcomm; Microsoft; F5 Networks; Bank of America; Datadog; Forescout; SentinelOne",network-management,"Network Management",cpc-subgroup,,,,,,,,,,,40.7,35.5,36.2,37.5
314,10956230,VMware,"Workload placement with forecast",2021-03-23,"VMware LLC",15.2,1.00,4,4,4,"Amazon; Bank of America; NVIDIA; IBM",,"",none,,,,,,,,,,,36.7,34.7,41.1,37.5
315,10797966,Nicira (VMware SDN),"Service operation chaining",2020-10-06,"Nicira, Inc.",14.7,0.99,52,4,2,"Intel; Amazon",,"",none,,,,,,,,,,,34.1,37.6,40.7,37.5
316,11586580,Avago Technologies,"Parallel processor optimized for machine learning",2023-02-21,"Avago Technologies International Sales Pte. Limited",14.1,0.97,0,0,0,"",image-processing,"Image Processing",cpc-subgroup,,,,,,5,3,5,5,4,30.7,36.8,44.8,37.4
317,10509914,VMware,"Data policy implementation in a tag-based policy architecture",2019-12-17,"VMware LLC",13.9,0.96,14,8,2,"Microsoft; Pure Storage",,"",none,,,,,,,,,,,36.8,36.0,39.5,37.4
318,10572329,VMware,"Methods and systems to identify anomalous behaving components of a distributed computing system",2020-02-25,"VMware LLC",14.1,0.97,9,8,2,"Google; Dell EMC",,"",none,,,,,,,,,,,37.0,35.6,39.5,37.4
