rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,super_sector,super_sector_name,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
159,8359451,VMware,"Management of host physical memory allocation to virtual machines with a balloon application",2013-01-22,"VMware LLC",7.0,29,7,4,"IBM; Google; Red Hat; Citrix",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,23.46,28.80,29.01,17.48,23.08,19.85,22.54,99,143,235,190,214,146
160,8095931,VMware,"Controlling memory conditions in a virtual machine",2012-01-10,"VMware LLC",6.0,238,71,2,"Amazon; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,23.43,25.71,25.78,15.31,31.95,21.22,20.61,190,234,357,36,159,219
161,8898676,VMware,"Management of software updates for software components in a virtualized environment of a datacenter ",2014-11-25,"VMware LLC",8.8,13,8,5,"Google; Oracle; IBM; Bank of America; Intel",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",4,4,4,3,4,,,,,,23.39,26.45,27.84,16.43,27.54,20.90,21.18,162,164,296,94,171,192
162,8095929,VMware,"Method and system for determining a cost-benefit metric for potential virtual machine migrations",2012-01-10,"VMware LLC",6.0,144,63,7,"IBM; Amazon; Citrix; Red Hat; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,23.35,23.95,25.24,14.86,31.96,22.86,21.25,252,246,388,34,110,190
163,8151263,VMware,"Real time cloning of a virtual machine",2012-04-03,"VMware LLC",6.2,102,45,11,"FireEye; IBM; Dell EMC; NEC; Red Hat",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,3,4,4,4,,,,,,23.26,24.68,25.70,15.00,30.43,21.17,22.57,226,235,373,48,162,145
164,9767197,VMware,"Datacenter operations using search and analytics",2017-09-19,"VMware LLC",11.7,53,31,5,"Splunk; Salesforce; Dell EMC; Microsoft; HPE",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",3,3,4,3,3,,,,,,23.24,24.20,27.42,19.19,21.88,22.56,24.18,240,176,159,235,114,111
165,8843935,VMware,"Automatically changing a pre-selected datastore associated with a requested host for a virtual machi",2014-09-23,"VMware LLC",8.7,20,16,5,"Amazon; Google; Juniper; IBM; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,3,,,,,,23.23,26.30,28.55,17.54,26.04,18.46,22.46,168,150,230,124,260,149
166,8677085,VMware,"Virtual machine snapshotting in object storage system",2014-03-18,"VMware LLC",8.2,57,7,2,"IBM; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,4,4,4,4,,,,,,23.19,27.51,27.33,16.52,27.35,19.26,21.17,139,179,288,101,231,193
167,10623390,Pivotal Software,"Sidecar-backed services for cloud computing platform",2020-04-14,"PIVOTAL SOFTWARE, INC.",14.2,36,26,11,"IBM; Rapid7; SAP; Intel; Amazon",SECURITY,"Security",auth-firewall,"Firewall/Filtering",,,,,,,,,,,23.17,23.94,26.48,21.18,21.05,21.49,24.86,253,208,122,262,154,101
168,8443367,VMware,"Federated management in a distributed environment",2013-05-14,"VMware LLC",7.3,40,28,8,"Ericsson; Amazon; Dell EMC; Microsoft; IBM",VIRTUALIZATION,"Virtualization & Cloud",vm-ipc,"VM IPC/Communication",4,3,4,3,3,,,,,,23.17,24.87,28.18,18.15,22.25,21.92,23.63,219,159,199,221,140,121
169,9525696,Blue Coat Systems,"Systems and methods for processing data flows",2016-12-20,"Blue Coat Systems, Inc.",10.9,70,26,10,"Salesforce; Huawei; Capital One; Cisco; Bank of America",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",,,,,,,,,,,23.13,24.20,26.48,18.44,21.85,22.22,25.57,239,209,189,236,121,84
170,8607013,VMware,"Providing VMM access to guest virtual memory",2013-12-10,"VMware LLC",7.9,18,15,3,"IBM; Red Hat; Cisco",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,3,4,4,4,,,,,,23.12,28.11,29.78,17.54,21.05,19.50,22.71,120,119,229,261,222,139
171,9641389,VMware,"Method and system for recovering from network disconnects by cloning a virtual port",2017-05-02,"VMware LLC",11.3,4,4,4,"HPE; NetApp; Dell EMC; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cfg-general,"Config General",4,4,4,4,4,,,,,,23.08,28.35,28.22,17.76,23.09,19.13,21.95,112,156,219,189,235,163
172,8392838,VMware,"Accessing virtual disk content of a virtual machine using a control virtual machine",2013-03-05,"VMware LLC",7.1,23,14,7,"Bank of America; Intel; SAP; Amazon; Samsung",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,3,4,4,3,,,,,,23.07,26.63,29.09,18.31,21.74,19.26,23.41,156,136,192,243,230,126
173,9317326,VMware,"Consistent migration of a group of virtual machines using source and destination group messaging",2016-04-19,"VMware LLC",10.2,24,5,4,"Amazon; Dell EMC; IBM; Google",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,3,4,,,,,,23.07,26.49,26.67,17.57,23.99,21.96,21.74,161,203,226,164,136,174
174,9548924,Nicira (VMware SDN),"Detecting an elephant flow based on the size of a packet",2017-01-17,"Nicira, Inc.",11.0,54,41,4,"Tencent; Cisco; HPE; Qualcomm",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",3,3,3,4,3,,,,,,23.07,26.20,28.22,20.23,20.95,18.80,24.00,174,154,139,266,249,115
175,9886445,VMware,"Datacenter entity information system",2018-02-06,"VMware LLC",12.0,16,7,4,"Red Hat; HPE; Cisco; Palo Alto Networks",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",3,4,4,3,4,,,,,,23.06,25.53,26.91,20.47,21.95,21.50,21.97,195,192,131,233,153,162
176,10567440,Nicira (VMware SDN),"Providing application visibility for micro-segmentation of a network deployment",2020-02-18,"Nicira, Inc.",14.1,11,4,3,"Huawei; Juniper; Google",SECURITY,"Security",auth-access,"Access Control/Policy",4,4,4,4,4,,,,,,23.05,27.72,27.23,20.26,22.62,18.88,21.58,134,185,137,208,245,181
177,8028071,VMware,"TCP/IP offload engine virtualization system and methods",2011-09-27,"VMware LLC",5.7,125,86,7,"Cisco; Dell EMC; Citrix; Microsoft; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,4,,,,,,23.01,24.49,25.93,15.30,29.98,20.46,21.92,232,225,359,54,183,166
178,9742682,VMware,"Large receive offload for virtual machines",2017-08-22,"VMware LLC",11.6,9,5,5,"Microsoft; Red Hat; Samsung; Huawei; Realtek",SDN_NETWORK,"SDN & Network Infrastructure",sdn-qos,"SDN QoS/Traffic",4,3,4,4,4,,,,,,22.94,27.16,27.83,18.15,22.37,19.56,22.59,145,165,198,215,220,142
179,9674562,VMware,"Quality evaluation of multimedia delivery in cloud environments",2017-06-06,"VMware LLC",11.4,18,8,3,"Apple; NBCUniversal; Google",VIDEO_STREAMING,"Video & Streaming",stream-server,"Streaming Server/Delivery",3,4,4,3,4,,,,,,22.93,26.10,27.69,17.70,21.96,21.93,22.21,177,167,221,231,137,157
180,10623372,Nicira (VMware SDN),"Load balancing IPsec tunnel processing with extended Berkeley packet filter (eBPF)",2020-04-14,"Nicira, Inc.",14.2,25,6,2,"Cisco; IBM",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,4,4,3,4,,,,,,22.91,26.19,26.67,19.98,22.46,21.42,20.75,175,202,143,212,155,214
181,8583875,VMware,"Efficient readable ballooning of guest memory by backing balloon pages with a shared page",2013-11-12,"VMware LLC",7.8,31,15,2,"Red Hat; Microsoft",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,3,4,,,,,,22.88,27.19,28.73,16.90,21.99,21.64,20.83,144,149,265,230,150,211
182,9659057,VMware,"Fault tolerant distributed query processing using query operator motion",2017-05-23,"VMware LLC",11.3,15,14,1,"Dell EMC",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,3,4,3,4,,,,,,22.87,26.35,28.93,18.07,20.76,22.16,20.93,165,145,205,275,125,203
183,8543781,VMware,"Hybrid locking using network and on-disk based schemes",2013-09-24,"VMware LLC",7.7,14,11,4,"IBM; Microsoft; Pure Storage; Huawei",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,4,4,3,4,,,,,,22.77,26.94,28.43,16.66,22.10,21.13,21.37,150,152,278,226,163,186
184,10581819,CA Technologies,"Network traffic scanning of encrypted data",2020-03-03,"CA, Inc.",11.1,9,9,3,"Microsoft; CyberArk; Citrix",SECURITY,"Security",auth-network,"Network Segmentation",4,3,4,4,3,5,5,1,system,related,22.75,27.93,29.22,18.50,18.68,21.81,20.36,126,132,187,384,144,226
185,9658878,VMware,"Transparent memory-mapped emulation of I/O calls",2017-05-23,"VMware LLC",11.3,15,4,3,"Huawei; Red Hat; IBM",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,22.74,27.84,27.23,17.41,22.98,19.17,21.81,129,183,240,195,232,169
186,9215213,Nicira (VMware SDN),"Method and apparatus for distributing firewall rules",2015-12-15,"Nicira, Inc.",9.9,70,11,1,"Bank of America",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,4,4,4,3,,,,,,22.74,25.67,26.71,21.40,25.37,18.12,19.18,192,199,116,140,286,276
187,9244669,VMware,"Deploying an application across multiple deployment environments",2016-01-26,"VMware LLC",10.0,30,10,5,"Capital One; Bank of America; Microsoft; Huawei; IBM",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,3,4,3,3,,,,,,22.70,24.52,26.76,18.21,22.44,21.67,22.58,231,198,197,213,149,143
188,9413430,Broadcom,"Measurement and reporting of received signal strength in NFC enabled devices",2016-08-09,"Broadcom Corporation",7.6,211,97,1,"Capital One",WIRELESS,"Wireless & RF",wireless-services,"Wireless Services/Applications",4,3,3,4,3,4,,,hardware,likely_essential,22.67,26.79,27.77,18.61,20.87,21.02,20.97,152,166,178,271,170,201
189,9419855,Nicira (VMware SDN),"Static routes for logical routers",2016-08-16,"Nicira, Inc.",10.6,53,8,2,"Forcepoint; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cfg-templates,"Config Templates/Models",4,3,4,4,3,,,,,,22.66,26.27,27.42,18.47,21.88,19.60,22.32,171,174,188,234,219,152
190,9477507,VMware,"State customization of forked virtual machines",2016-10-25,"VMware LLC",10.8,7,5,2,"NetApp; Bank of America",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,22.65,28.11,28.22,17.29,21.77,18.88,21.64,121,157,246,239,246,180
191,7925850,VMware,"Page signature disambiguation for increasing the efficiency of virtual machine migration in shared-p",2011-04-12,"VMware LLC",5.2,145,20,8,"Amazon; HPE; Red Hat; Microsoft; IBM",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,3,4,4,4,,,,,,22.64,23.94,25.24,14.94,29.66,20.41,21.66,254,245,378,58,188,177
192,8666938,VMware,"Installed application cloning and failover to virtual server",2014-03-04,"VMware LLC",8.1,43,17,7,"IBM; HPE; Samsung; ServiceNow; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-core,"VMH Core/Hypervisor",4,3,4,3,3,,,,,,22.60,23.62,26.37,16.82,26.29,20.56,21.90,269,213,272,119,180,167
193,8943259,VMware,"Relieving memory pressure in a host using database memory management",2015-01-27,"VMware LLC",9.0,11,11,2,"Red Hat; IBM",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,22.57,25.42,26.95,19.90,24.69,19.44,19.02,199,191,147,148,223,282
194,8650564,VMware,"Method and system for synchronizing fault-tolerant virtual machines and adjusting CPU resource limit",2014-02-11,"VMware LLC",8.1,14,10,3,"IBM; Microsoft; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",vmh-migration,"VMH Migration",4,4,4,3,4,,,,,,22.50,25.92,27.25,15.70,26.04,20.07,20.03,183,181,330,125,200,238
195,8817621,Nicira (VMware SDN),"Network virtualization apparatus",2014-08-26,"Nicira, Inc.",8.6,39,9,3,"HPE; Intel; IBM",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,3,4,4,4,,,,,,22.49,26.28,27.09,16.24,25.42,18.58,21.33,170,187,302,139,257,187
196,9740402,VMware,"Migrating workloads across host computing systems based on remote cache content usage characteristic",2017-08-22,"VMware LLC",11.6,29,28,1,"Oracle",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,3,4,3,3,,,,,,22.47,25.07,28.33,18.60,21.01,21.87,19.94,206,153,179,265,142,245
197,8667500,VMware,"Use of dynamic entitlement and adaptive threshold for cluster process balancing",2014-03-04,"VMware LLC",8.1,32,12,5,"HPE; SAP; Cisco; IBM; Oracle",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,3,4,3,4,,,,,,22.46,24.73,26.44,16.06,25.90,20.55,21.11,224,211,311,128,181,195
198,8010667,VMware,"On-access anti-virus mechanism for virtual machine architecture",2011-08-30,"VMware LLC",5.6,374,90,3,"FireEye; Fortinet; Google",SECURITY,"Security",sec-malware,"Security Malware/AV",4,3,4,4,4,,,,,,22.42,23.84,23.90,14.56,30.62,20.79,20.83,257,302,403,46,175,210
199,9477491,VMware,"Independent synchronization of virtual desktop image layers",2016-10-25,"VMware LLC",10.8,7,4,3,"Red Hat; Microsoft; Bank of America",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,4,4,4,4,,,,,,22.30,27.58,27.23,16.99,22.18,18.53,21.30,137,184,262,223,258,189
200,10959098,VMware,"Dynamically specifying multiple public cloud edge nodes to connect to an external multi-computer nod",2021-03-23,"VMware LLC",15.2,129,10,2,"Cisco; Amazon",SDN_NETWORK,"SDN & Network Infrastructure",infra-bridge,"Infra Bridge/Switch",4,3,4,3,3,,,,,,22.26,23.52,24.69,20.63,22.28,21.88,20.57,272,263,128,219,141,220
201,10326788,Symantec Enterprise,"Systems and methods for identifying suspicious controller area network messages",2019-06-18,"Symantec Corporation",10.4,8,7,2,"Intel; Forcepoint",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",3,4,4,3,4,5,,,software,related,22.25,26.03,27.43,15.52,19.06,23.54,21.92,179,172,342,361,94,164
202,8307191,VMware,"Page fault handling in a virtualized computer system",2012-11-06,"VMware LLC",6.8,49,29,4,"IBM; Red Hat; HPE; Apple",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,22.24,25.11,26.09,14.23,28.87,19.11,20.03,205,221,419,68,237,239
203,10200359,Symantec Enterprise,"Systems and methods for creating credential vaults that use multi-factor authentication to automatic",2019-02-05,"Symantec Corporation",10.1,19,13,5,"Microsoft; Bank of America; Dell EMC; BMC Software; Capital One",SECURITY,"Security",auth-identity,"Identity/Authentication",3,3,4,4,3,5,5,1,software,related,22.20,25.95,27.88,18.55,17.64,22.22,20.94,182,162,182,444,122,202
204,10509914,VMware,"Data policy implementation in a tag-based policy architecture",2019-12-17,"VMware LLC",13.9,14,8,2,"Microsoft; Pure Storage",SECURITY,"Security",sec-data,"Security Data Protection",4,3,4,4,3,,,,,,22.18,25.69,27.42,20.56,20.09,18.15,21.19,191,173,130,315,285,191
205,9626211,VMware,"Auto-discovery of pre-configured hyper-converged computing devices on a network",2017-04-18,"VMware LLC",11.2,11,7,4,"ServiceNow; Dell EMC; HPE; IBM",VIRTUALIZATION,"Virtualization & Cloud",cfg-lifecycle,"Config Lifecycle",4,3,4,4,3,,,,,,22.18,25.91,27.42,17.92,21.21,18.44,22.17,185,175,211,258,263,159
206,8775773,VMware,"Object storage system",2014-07-08,"VMware LLC",8.5,42,32,5,"Cisco; Dell EMC; Samsung; Red Hat; NetApp",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",3,3,4,3,4,,,,,,22.10,23.69,26.30,16.22,24.23,20.49,21.69,265,216,304,161,182,176
207,10572329,VMware,"Methods and systems to identify anomalous behaving components of a distributed computing system",2020-02-25,"VMware LLC",14.1,9,8,2,"Google; Dell EMC",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-errordetect,"FT Error Detection",4,4,4,2,4,,,,,,22.07,24.20,26.16,18.82,21.29,22.97,19.00,241,219,171,255,106,284
208,9860309,VMware,"Hybrid cloud network monitoring system for tenant use",2018-01-02,"VMware LLC",11.9,4,4,3,"Oracle; Intel; Cisco",SDN_NETWORK,"SDN & Network Infrastructure",proto-distributed,"Protocol Distributed",4,4,4,4,4,,,,,,22.07,27.44,27.23,16.76,21.75,18.18,21.03,140,182,273,241,282,197
209,9432204,Nicira (VMware SDN),"Distributed multicast by endpoints",2016-08-30,"Nicira, Inc.",10.6,33,5,3,"HPE; IBM; Cisco",SDN_NETWORK,"SDN & Network Infrastructure",infra-framing,"Infra Framing/PAD",3,4,4,4,4,,,,,,22.05,26.18,26.07,17.22,21.76,19.16,21.92,176,222,252,240,233,165
210,9524233,VMware,"System and method for efficient swap space allocation in a virtualized environment",2016-12-20,"VMware LLC",10.9,9,9,2,"Red Hat; Dell EMC",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",3,4,4,3,4,,,,,,21.97,25.45,27.38,16.92,20.38,20.85,20.84,197,178,264,298,173,209
211,8250586,VMware,"High-performance virtual machine networking",2012-08-21,"VMware LLC",6.6,24,19,5,"NetApp; Red Hat; HPE; IBM; Amazon",VIRTUALIZATION,"Virtualization & Cloud",vmh-core,"VMH Core/Hypervisor",4,4,4,4,4,,,,,,21.95,24.88,26.14,14.02,28.18,18.65,19.83,218,220,437,81,253,247
212,8473947,VMware,"Method for configuring a physical adapter with virtual function (VF) and physical function (PF) for ",2013-06-25,"VMware LLC",7.4,48,18,6,"IBM; Intel; Samsung; Huawei; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vmh-migration,"VMH Migration",4,3,3,4,3,,,,,,21.95,26.09,27.63,18.03,20.42,17.31,22.21,178,168,207,295,331,156
213,10848408,VMware,"Methods and apparatus to control computing resource utilization of monitoring agents",2020-11-24,"VMware LLC",14.8,15,15,2,"Intel; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",4,3,4,3,3,,,,,,21.94,24.04,26.76,20.27,20.22,20.33,20.03,249,197,135,306,190,240
214,9692698,Nicira (VMware SDN),"Methods and systems to offload overlay network packet encapsulation to hardware",2017-06-27,"Nicira, Inc.",11.4,37,8,4,"IBM; Citrix; Cisco; HPE",SDN_NETWORK,"SDN & Network Infrastructure",infra-bridge,"Infra Bridge/Switch",4,3,3,4,3,,,,,,21.93,25.95,26.68,18.52,20.91,17.52,22.00,181,200,186,269,314,161
215,10218506,CA Technologies,"Cross-device authentication",2019-02-26,"CA, Inc.",10.1,7,4,3,"Verizon; Bank of America; Capital One",SECURITY,"Security",cryptography,"Cryptography/Encryption",4,4,4,4,3,5,,,system,related,21.92,26.91,26.87,15.47,19.96,20.24,22.06,151,194,348,322,194,160
216,9448790,Pivotal Software,"Rapid updating of cloud applications",2016-09-20,"PIVOTAL SOFTWARE, INC.",10.7,83,82,5,"Oracle; Red Hat; Amazon; Salesforce; IBM",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",,,,,,,,,,,21.86,23.47,25.91,17.95,20.58,20.44,22.79,276,226,208,286,184,138
217,8386731,VMware,"Method and system for optimizing live migration of persistent data of virtual machine using disk I/O",2013-02-26,"VMware LLC",7.1,23,11,5,"Google; Huawei; Dell EMC; Red Hat; Amazon",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,4,3,3,4,,,,,,21.80,26.24,27.09,16.60,20.91,19.44,20.55,173,188,281,268,224,222
218,10103939,Nicira (VMware SDN),"Network control apparatus and method for populating logical datapath sets",2018-10-16,"Nicira, Inc.",12.7,21,14,2,"Oracle; Juniper",VIRTUALIZATION,"Virtualization & Cloud",cfg-lifecycle,"Config Lifecycle",4,3,4,3,3,,,,,,21.80,23.83,26.35,20.12,20.27,20.31,19.92,259,215,140,304,191,246
219,10789104,VMware,"Methods and apparatus for deploying a distributed system using operating system virtualization",2020-09-29,"VMware LLC",14.7,12,12,3,"Oracle; Amazon; SAP",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,3,4,3,3,,,,,,21.76,23.74,26.21,19.91,20.31,19.98,20.43,262,217,146,303,204,224
220,9172603,Nicira (VMware SDN),"WAN optimizer for logical networks",2015-10-27,"Nicira, Inc.",9.8,101,6,3,"Marvell; Forcepoint; Cisco",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,4,,,,,,21.75,24.14,23.66,19.71,25.20,17.88,19.95,246,311,151,143,297,243
221,8286174,VMware,"Executing a multicomponent software application on a virtualized computer platform",2012-10-09,"VMware LLC",6.7,88,31,6,"Amazon; IBM; Dell EMC; Google; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,3,4,,,,,,21.75,22.85,24.13,13.65,29.29,21.03,19.53,302,289,469,61,168,256
222,11115480,VMware,"Layer four optimization for a virtual network defined over public cloud",2021-09-07,"VMware LLC",15.6,83,5,1,"Cloudflare",SDN_NETWORK,"SDN & Network Infrastructure",proto-session,"Protocol Session",4,4,4,3,4,,,,,,21.66,24.35,24.06,19.08,21.96,21.35,19.19,235,293,163,232,157,275
223,10339012,VMware,"Fault tolerant application storage volumes for ensuring application availability and preventing data",2019-07-02,"VMware LLC",13.4,5,5,1,"Dell EMC",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-recovery,"FT Recovery/Checkpoint",4,4,4,4,4,,,,,,21.66,26.62,27.23,18.99,19.44,17.72,19.95,157,186,167,339,305,244
224,10805181,Nicira (VMware SDN),"Service operation chaining",2020-10-13,"Nicira, Inc.",14.7,167,4,1,"Juniper",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",4,4,4,3,4,,,,,,21.59,23.66,22.32,19.10,23.17,22.06,19.24,267,373,162,188,132,270
225,9350657,Nicira (VMware SDN),"Encapsulating data packets using an adaptive tunnelling protocol",2016-05-24,"Nicira, Inc.",10.3,18,7,3,"Cisco; Palantir; Ericsson",SDN_NETWORK,"SDN & Network Infrastructure",sdn-lan,"SDN LAN/Switching",4,3,4,4,3,,,,,,21.59,25.36,26.63,17.37,20.65,18.08,21.45,201,206,241,282,290,184
226,10176325,Symantec Enterprise,"System and method for dynamic detection of command and control malware",2019-01-08,"Symantec Corporation",10.0,9,7,4,"Palo Alto Networks; Intel; T-Mobile; Netskope",SECURITY,"Security",sec-malware,"Security Malware/AV",3,4,4,2,4,5,,,software,none,21.57,23.32,25.16,14.69,19.49,25.71,21.08,284,248,397,333,55,196
227,8578380,VMware,"Program concurrency control using condition variables",2013-11-05,"VMware LLC",7.8,18,13,5,"Red Hat; Oracle; Marvell; Dell EMC; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vm-ipc,"VM IPC/Communication",3,4,4,3,4,,,,,,21.57,24.84,26.84,16.03,20.38,20.29,21.02,220,195,313,299,192,198
228,8694828,VMware,"Using virtual machine cloning to create a backup virtual machine in a fault tolerant system",2014-04-08,"VMware LLC",8.2,15,8,3,"IBM; Salesforce; Dell EMC",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-failover,"FT Failover/HA",4,3,4,4,4,,,,,,21.50,25.54,26.65,15.38,23.75,17.41,20.28,194,204,353,172,326,228
229,8201169,VMware,"Virtual machine fault tolerance",2012-06-12,"VMware LLC",6.4,25,15,6,"FireEye; Dell EMC; Microsoft; IBM; NetApp",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-redundancy,"FT Redundancy",4,4,4,4,4,,,,,,21.45,24.17,25.32,13.69,27.82,18.32,19.38,243,240,465,90,269,262
230,8667187,VMware,"System and method for reducing communication overhead between network interface controllers and virt",2014-03-04,"VMware LLC",8.1,12,11,5,"Red Hat; Huawei; Intel; Dell EMC; IBM",SDN_NETWORK,"SDN & Network Infrastructure",proto-distributed,"Protocol Distributed",4,3,4,4,3,,,,,,21.43,24.58,26.54,15.97,24.01,16.92,20.55,228,207,316,163,349,221
231,8291159,VMware,"Monitoring and updating mapping of physical storage allocation of virtual machine without changing i",2012-10-16,"VMware LLC",6.7,37,22,7,"HPE; IBM; Amazon; Splunk; Pure Storage",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,4,4,3,4,,,,,,21.43,22.69,24.49,13.47,28.23,20.43,19.26,305,271,485,80,186,269
232,9590901,Nicira (VMware SDN),"Route advertisement by managed gateways",2017-03-07,"Nicira, Inc.",11.1,68,5,4,"Huawei; ZTE; Amazon; Ericsson",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,3,4,3,4,,,,,,21.42,23.78,23.81,16.52,22.29,21.19,20.92,261,306,287,217,161,205
233,9888377,Symantec Enterprise,"Using personal computing device analytics as a knowledge based authentication source",2018-02-06,"Symantec Corporation",9.1,102,99,5,"Bank of America; OneTrust; T-Mobile; Amazon; Oracle",WIRELESS,"Wireless & RF",wireless,"Wireless Communications",2,3,3,2,3,4,5,5,software,related,21.40,18.95,24.07,24.67,20.19,21.92,18.60,501,291,63,308,139,301
234,9083609,Nicira (VMware SDN),"Network operating system for managing and securing networks",2015-07-14,"Nicira, Inc.",9.5,35,6,4,"Cisco; NEC; Huawei; Fortinet",VIRTUALIZATION,"Virtualization & Cloud",cfg-general,"Config General",3,4,4,4,4,,,,,,21.40,24.15,24.40,19.32,24.02,17.00,19.51,244,274,156,162,344,258
235,9582221,VMware,"Virtualization-aware data locality in distributed data processing",2017-02-28,"VMware LLC",11.1,11,10,4,"Bank of America; IBM; Microsoft; Cisco",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",3,4,4,3,3,,,,,,21.38,23.69,26.07,16.98,20.62,20.05,20.89,266,223,263,283,201,206
236,9317318,VMware,"Virtual machine monitor configured to support latency sensitive virtual machines",2016-04-19,"VMware LLC",10.2,15,13,2,"Red Hat; Amazon",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,3,4,3,,,,,,21.35,25.92,27.41,18.07,19.26,16.78,20.67,184,177,206,349,361,216
237,9870324,VMware,"Isolating guest code and data using multiple nested page tables",2018-01-16,"VMware LLC",12.0,8,5,2,"Red Hat; IBM",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,3,4,4,,,,,,21.35,26.67,26.20,19.28,19.70,16.52,19.74,154,218,157,328,381,252
238,9319375,Nicira (VMware SDN),"Flow templating in logical L3 routing",2016-04-19,"Nicira, Inc.",10.2,46,6,3,"NEC; Oracle; Intel",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,3,4,3,4,,,,,,21.31,24.08,24.58,16.36,21.41,20.81,20.64,248,270,299,252,174,218
